Datetime,Open,High,Low,Close,Volume
2025-11-30 00:00:00+00:00,90836.71875,90970.828125,90809.6328125,90911.953125,0
2025-11-30 01:00:00+00:00,90910.7265625,91061.7265625,90904.2578125,90961.6796875,0
2025-11-30 02:00:00+00:00,90950.390625,91054.6171875,90799.3359375,90812.421875,0
2025-11-30 03:00:00+00:00,90810.25,90941.8828125,90521.59375,90907.5546875,423297024
2025-11-30 04:00:00+00:00,90915.96875,90978.7578125,90845.828125,90874.015625,59613184
2025-11-30 05:00:00+00:00,90886.875,90886.875,90712.6171875,90821.984375,0
2025-11-30 06:00:00+00:00,90812.8046875,90953.265625,90775.0546875,90908.2578125,0
2025-11-30 07:00:00+00:00,90912.0546875,91038.3984375,90891.1796875,90973.234375,0
2025-11-30 08:00:00+00:00,90970.2265625,91349.359375,90958.2109375,91234.6640625,861442048
2025-11-30 09:00:00+00:00,91217.484375,91566.0703125,91193.484375,91409.203125,676818944
2025-11-30 10:00:00+00:00,91423.96875,91442.015625,91231.1484375,91238.5546875,0
2025-11-30 11:00:00+00:00,91246.4140625,91372.0625,91059.453125,91059.453125,0
2025-11-30 12:00:00+00:00,91056.2265625,91480.5703125,91050.4375,91448.640625,284856320
2025-11-30 13:00:00+00:00,91457.0078125,91965.046875,91447.4921875,91761.46875,1489371136
2025-11-30 14:00:00+00:00,91780.71875,91780.71875,91310.015625,91477.2265625,611565568
2025-11-30 15:00:00+00:00,91497.4921875,91622.5859375,91339.8515625,91461.4375,41324544
2025-11-30 16:00:00+00:00,91455.3984375,91865.8515625,91440.9375,91816.1875,0
2025-11-30 17:00:00+00:00,91776.90625,91776.90625,91352.1484375,91497.828125,0
2025-11-30 18:00:00+00:00,91495.1015625,91495.1015625,91250.6875,91448.78125,0
2025-11-30 19:00:00+00:00,91451.6640625,91493.0625,91321.671875,91467.609375,0
2025-11-30 20:00:00+00:00,91474.3203125,91607.875,91212.390625,91343.46875,0
2025-11-30 21:00:00+00:00,91324.4296875,91328.6640625,90965.703125,91172.078125,465276928
2025-11-30 22:00:00+00:00,91173.234375,91334.6640625,91084.3203125,91235.375,0
2025-11-30 23:00:00+00:00,91242.9765625,91242.9765625,90419.40625,90440.6328125,681799680
2025-12-01 00:00:00+00:00,90379.84375,90379.84375,87068.546875,87154.7578125,6631452672
2025-12-01 01:00:00+00:00,87049.8203125,87715.6015625,87043.6796875,87316.8046875,3720790016
